start time,1632908804.270823
game,31
iterations,16
times of actions,"[[0, 0.002001523971557617], [1, 0.16099977493286133], [0, 0.004004240036010742], [1, 0.13099932670593262], [0, 0.0029859542846679688], [1, 0.36299920082092285], [0, 0.004999637603759766], [1, 0.38899731636047363], [0, 0.005995273590087891], [1, 0.34304046630859375], [0, 0.006001949310302734], [1, 0.32204747200012207], [0, 0.006001949310302734], [1, 0.2500002384185791], [0, 0.006000995635986328], [1, 0.1939983367919922]]"
winner,blue
game,32
iterations,16
times of actions,"[[0, 0.003000974655151367], [1, 0.28099942207336426], [0, 0.00598454475402832], [1, 0.3439979553222656], [0, 0.004999876022338867], [1, 0.6060431003570557], [0, 0.01000070571899414], [1, 0.6020026206970215], [0, 0.006002187728881836], [1, 0.5659968852996826], [0, 0.009999275207519531], [1, 0.48399949073791504], [0, 0.00599980354309082], [1, 0.43604135513305664], [0, 0.006000518798828125], [1, 0.29799842834472656]]"
winner,blue
game,33
iterations,16
times of actions,"[[0, 0.0029976367950439453], [1, 0.28020215034484863], [0, 0.0060045719146728516], [1, 0.3450005054473877], [0, 0.008997917175292969], [1, 0.5969991683959961], [0, 0.005000114440917969], [1, 0.573005199432373], [0, 0.004995107650756836], [1, 0.5360002517700195], [0, 0.005000591278076172], [1, 0.45303821563720703], [0, 0.004961967468261719], [1, 0.4191415309906006], [0, 0.0049991607666015625], [1, 0.27399420738220215]]"
winner,blue
game,34
iterations,26
times of actions,"[[0, 0.002002239227294922], [1, 0.23301196098327637], [0, 0.00973057746887207], [1, 0.16100025177001953], [0, 0.004001140594482422], [1, 0.24300336837768555], [0, 0.005002260208129883], [1, 0.27100419998168945], [0, 0.011001825332641602], [1, 0.33304452896118164], [0, 0.004995822906494141], [1, 0.6200361251831055], [0, 0.014049053192138672], [1, 0.7729842662811279], [0, 0.0070002079010009766], [1, 0.41403937339782715], [0, 0.003998517990112305], [1, 0.5270049571990967], [0, 0.00500178337097168], [1, 0.4880030155181885], [0, 0.004999399185180664], [1, 0.41299867630004883], [0, 0.004999399185180664], [1, 0.2259998321533203], [0, 0.005999565124511719], [1, 0.11900019645690918]]"
winner,blue
game,35
iterations,26
