start time,1631469037.5784643
times of actions,"[[0, 1.9611189365386963], [1, 1.8839967250823975], [0, 1.9089651107788086], [1, 2.0418968200683594], [0, 2.017043352127075], [1, 2.029974937438965], [0, 2.0578243732452393], [1, 2.360955238342285], [0, 3.401982307434082], [1, 4.611972808837891], [0, 3.450986385345459], [1, 4.299959421157837], [0, 3.559014081954956], [1, 4.470958948135376], [0, 3.3902173042297363], [1, 4.283008337020874], [0, 3.3049988746643066], [1, 4.535996675491333], [0, 3.1895945072174072], [1, 4.175015687942505], [0, 2.3860042095184326], [1, 3.0880351066589355], [0, 2.3150079250335693], [1, 2.641005516052246], [0, 1.8150360584259033], [1, 2.449995279312134], [0, 2.0889980792999268], [1, 2.820051431655884]]"
winner,blue
game,17
iterations,35
times of actions,"[[0, 1.9051988124847412], [1, 1.9692778587341309], [0, 1.9670436382293701], [1, 1.9500930309295654], [0, 2.1250429153442383], [1, 2.097998857498169], [0, 2.4600160121917725], [1, 3.3930394649505615], [0, 4.551060914993286], [1, 3.415999174118042], [0, 4.191003084182739], [1, 3.414963960647583], [0, 4.373003005981445], [1, 3.476040840148926], [0, 4.2390522956848145], [1, 3.4299986362457275], [0, 4.366043567657471], [1, 3.7260355949401855], [0, 4.185504674911499], [1, 3.4500033855438232], [0, 4.371041774749756], [1, 3.441002130508423], [0, 4.191998481750488], [1, 3.43998646736145], [0, 4.404511451721191], [1, 3.4570024013519287], [0, 4.17480993270874], [1, 3.377002000808716], [0, 4.2720489501953125], [1, 2.8610262870788574], [0, 3.335005044937134], [1, 2.8909614086151123], [0, 3.3139448165893555], [1, 2.9430012702941895], [0, 3.477004289627075], [1, 2.8390376567840576]]"
winner,none
game,18
iterations,24
times of actions,"[[0, 1.8819575309753418], [1, 2.0812528133392334], [0, 2.0909934043884277], [1, 2.4940433502197266], [0, 3.4659664630889893], [1, 4.368971824645996], [0, 3.461947441101074], [1, 4.528001308441162], [0, 3.588041305541992], [1, 4.359999656677246], [0, 3.404036283493042], [1, 4.481961011886597], [0, 3.4409961700439453], [1, 4.448960542678833], [0, 3.120800256729126], [1, 3.9711434841156006], [0, 2.580000400543213], [1, 3.1269617080688477], [0, 2.3059921264648438], [1, 2.465956449508667], [0, 1.7809617519378662], [1, 2.436022996902466], [0, 2.2039496898651123], [1, 2.860961437225342]]"
winner,blue
game,19
iterations,29
times of actions,"[[0, 1.9651429653167725], [1, 1.916999340057373], [0, 1.993032693862915], [1, 1.9740591049194336], [0, 2.0229978561401367], [1, 2.2210006713867188], [0, 2.4529616832733154], [1, 3.415008544921875], [0, 4.462590932846069], [1, 3.4589672088623047], [0, 4.565948963165283], [1, 3.4649972915649414], [0, 4.443010568618774], [1, 3.375997543334961], [0, 4.546965837478638], [1, 3.3369977474212646], [0, 4.426736354827881], [1, 3.254964590072632], [0, 4.436044216156006], [1, 3.054943799972534], [0, 3.39300274848938], [1, 1.9419643878936768], [0, 2.883134365081787], [1, 1.9677519798278809], [0, 2.956998109817505], [1, 2.300978899002075], [0, 2.9360039234161377], [1, 2.0970730781555176], [0, 2.7489914894104004]]"
winner,red
game,20
iterations,35
times of actions,"[[0, 1.608186960220337], [1, 1.9770524501800537], [0, 1.8919994831085205], [1, 2.014045476913452], [0, 1.95900297164917], [1, 1.9489984512329102], [0, 2.0420422554016113], [1, 2.0779988765716553], [0, 2.5150041580200195], [1, 3.608001708984375], [0, 4.232964038848877], [1, 3.5270564556121826], [0, 4.11500358581543], [1, 3.7459983825683594], [0, 4.047037601470947], [1, 3.5687954425811768], [0, 4.3190484046936035], [1, 3.802811622619629], [0, 4.161003112792969], [1, 3.580003499984741], [0, 4.106998443603516], [1, 3.9970009326934814], [0, 4.108998775482178], [1, 3.5660030841827393], [0, 4.072234630584717], [1, 3.7490036487579346], [0, 4.070999622344971], [1, 3.424013376235962], [0, 3.770211696624756], [1, 3.0194149017333984], [0, 3.5030159950256348], [1, 2.870997905731201], [0, 3.3361105918884277], [1, 2.8330562114715576], [0, 3.5170109272003174], [1, 2.831052780151367]]"
winner,none
game,21
iterations,14
times of actions,"[[0, 1.6534738540649414], [1, 1.9140360355377197], [0, 1.873966932296753], [1, 1.9469976425170898], [0, 1.9609577655792236], [1, 2.1360037326812744], [0, 2.067950487136841], [1, 2.203986644744873], [0, 2.451004981994629], [1, 2.4329588413238525], [0, 2.50696063041687], [1, 2.4049949645996094], [0, 2.582996129989624], [1, 2.4718847274780273], [0, 2.4429738521575928]]"
winner,none
game,22
iterations,15
times of actions,"[[0, 1.8762035369873047], [1, 1.9170007705688477], [0, 1.9150009155273438], [1, 1.9189987182617188], [0, 2.1129989624023438], [1, 1.959810495376587], [0, 2.0009987354278564], [1, 2.084439992904663], [0, 2.1989989280700684], [1, 2.43658447265625], [0, 2.4449985027313232], [1, 2.73174786567688], [0, 2.426997661590576], [1, 2.4149982929229736], [0, 2.4545135498046875], [1, 2.452960252761841]]"
winner,none
game,23
iterations,19
times of actions,"[[0, 1.6652557849884033], [1, 1.5873448848724365], [0, 2.0069985389709473], [1, 1.8740026950836182], [0, 2.0229990482330322], [1, 2.0830044746398926], [0, 2.4000024795532227], [1, 3.5040550231933594], [0, 4.4640443325042725], [1, 3.473998785018921], [0, 4.303999185562134], [1, 3.3690035343170166], [0, 4.533999443054199], [1, 3.327998399734497], [0, 4.327998876571655], [1, 3.238999128341675], [0, 4.366153717041016], [1, 2.5935072898864746], [0, 3.3360397815704346]]"
winner,red
game,24
iterations,91
times of actions,"[[0, 2.108210563659668], [1, 2.4090168476104736], [0, 3.3979737758636475], [1, 4.400989770889282], [0, 3.3407440185546875], [1, 4.3330817222595215], [0, 3.440944194793701], [1, 4.4269726276397705], [0, 3.53096342086792], [1, 4.191316843032837], [0, 3.4329869747161865], [1, 4.3709540367126465], [0, 3.422002077102661], [1, 4.172909498214722], [0, 3.4937844276428223], [1, 4.315105438232422], [0, 3.562959671020508], [1, 4.352998733520508], [0, 3.4240071773529053], [1, 4.433000564575195], [0, 3.530003786087036], [1, 4.25700044631958], [0, 3.4589595794677734], [1, 4.462119817733765], [0, 3.3989572525024414], [1, 4.255970478057861], [0, 3.547985553741455], [1, 4.43310022354126], [0, 3.5519912242889404], [1, 4.425999402999878], [0, 3.4609599113464355], [1, 4.446963787078857], [0, 3.544997215270996], [1, 4.218020439147949], [0, 3.4839518070220947], [1, 4.608037233352661], [0, 3.343390941619873], [1, 4.207969903945923], [0, 3.4869821071624756], [1, 4.511152744293213], [0, 3.546052932739258], [1, 4.307014226913452], [0, 3.671015977859497], [1, 4.192004680633545], [0, 3.356994152069092], [1, 3.9949631690979004], [0, 3.467988967895508], [1, 4.191006898880005], [0, 4.252031326293945], [1, 3.3080408573150635], [0, 4.292954206466675], [1, 3.4450409412384033], [0, 4.350966691970825], [1, 3.312959909439087], [0, 4.304041147232056], [1, 3.354008197784424], [0, 4.474995136260986], [1, 3.3209593296051025], [0, 4.208985805511475], [1, 3.2039618492126465], [0, 4.542537689208984], [1, 3.2850027084350586], [0, 4.331961631774902], [1, 3.228959321975708], [0, 3.6819911003112793], [1, 2.5379979610443115], [0, 4.308060884475708], [1, 3.1860013008117676], [0, 4.413002967834473], [1, 3.070997714996338], [0, 4.090005397796631], [1, 2.682959794998169], [0, 3.349001407623291], [1, 2.38604474067688], [0, 3.6690046787261963], [1, 2.5049424171447754], [0, 4.023964166641235], [1, 3.3329644203186035], [0, 4.210099458694458], [1, 3.4869980812072754], [0, 4.0605504512786865], [1, 3.5519912242889404], [0, 4.331999063491821], [1, 3.500999927520752], [0, 4.208002805709839], [1, 3.5459980964660645], [0, 4.397961139678955], [1, 3.5740013122558594], [0, 4.440001726150513], [1, 3.4679114818573], [0, 4.43400764465332], [1, 3.5540010929107666]]"
winner,none
game,25
iterations,16
times of actions,"[[0, 1.6992287635803223], [1, 1.6409997940063477], [0, 1.9469976425170898], [1, 1.8840186595916748], [0, 1.9160025119781494], [1, 2.1236636638641357], [0, 1.936964750289917], [1, 1.9589991569519043], [0, 2.005965232849121], [1, 2.0769593715667725], [0, 2.1789979934692383], [1, 2.436041831970215], [0, 2.611956834793091], [1, 2.4199635982513428], [0, 2.42495059967041], [1, 2.418022394180298], [0, 2.4610047340393066]]"
winner,none
game,26
iterations,17
times of actions,"[[0, 2.315558910369873], [1, 3.3220584392547607], [0, 4.263948202133179], [1, 3.214996576309204], [0, 3.4379968643188477], [1, 2.584998369216919], [0, 4.424002170562744], [1, 3.2399661540985107], [0, 3.5689988136291504], [1, 2.5038931369781494], [0, 4.273004055023193], [1, 2.628998279571533], [0, 3.926957845687866], [1, 2.9010093212127686], [0, 3.166968822479248], [1, 2.455000877380371], [0, 3.2410025596618652], [1, 2.1180028915405273]]"
winner,none
game,27
iterations,27
times of actions,"[[0, 1.970188856124878], [1, 2.144953727722168], [0, 2.371941328048706], [1, 3.785956859588623], [0, 4.117310523986816], [1, 3.578972578048706], [0, 4.081039190292358], [1, 3.7429981231689453], [0, 4.0999884605407715], [1, 3.6349146366119385], [0, 4.09601616859436], [1, 3.648003101348877], [0, 4.155057907104492], [1, 3.5270373821258545], [0, 4.061948537826538], [1, 3.5210020542144775], [0, 4.2330002784729], [1, 3.6189613342285156], [0, 4.071999788284302], [1, 3.4249966144561768], [0, 4.029007911682129], [1, 2.850965738296509], [0, 3.484930992126465], [1, 2.842000961303711], [0, 3.3039793968200684], [1, 3.0550060272216797], [0, 3.3110406398773193], [1, 2.823000907897949]]"
winner,none
game,28
iterations,75
times of actions,"[[0, 1.944678783416748], [1, 1.8539259433746338], [0, 1.9290165901184082], [1, 2.087998867034912], [0, 1.9570024013519287], [1, 2.0319325923919678], [0, 2.0839545726776123], [1, 2.3599936962127686], [0, 3.5129950046539307], [1, 4.273687362670898], [0, 3.5009636878967285], [1, 4.088172197341919], [0, 3.509000301361084], [1, 4.288002967834473], [0, 3.57200026512146], [1, 4.096011161804199], [0, 3.5446557998657227], [1, 4.309095621109009], [0, 3.5310027599334717], [1, 4.111010551452637], [0, 3.5410008430480957], [1, 4.1760029792785645], [0, 3.565908432006836], [1, 4.079057693481445], [0, 3.4539592266082764], [1, 4.247955560684204], [0, 3.475998640060425], [1, 4.102000951766968], [0, 3.456001043319702], [1, 4.049997806549072], [0, 3.634953498840332], [1, 4.060990810394287], [0, 4.316967487335205], [1, 3.2729456424713135], [0, 4.459585905075073], [1, 3.3629963397979736], [0, 4.32996129989624], [1, 3.3430042266845703], [0, 4.514049530029297], [1, 3.331002950668335], [0, 4.310953855514526], [1, 3.310108184814453], [0, 4.369004487991333], [1, 3.233002185821533], [0, 4.38115668296814], [1, 3.39204478263855], [0, 4.532045364379883], [1, 3.2529609203338623], [0, 3.515965461730957], [1, 2.5560379028320312], [0, 4.308003664016724], [1, 3.3399834632873535], [0, 4.2346320152282715], [1, 3.0480499267578125], [0, 4.072003364562988], [1, 2.854951858520508], [0, 3.334101676940918], [1, 2.2320148944854736], [0, 3.5440094470977783], [1, 2.483058214187622], [0, 4.221047878265381], [1, 3.3219892978668213], [0, 4.06398344039917], [1, 3.5439515113830566], [0, 4.18094801902771], [1, 3.6289992332458496], [0, 4.116002321243286], [1, 3.538952112197876], [0, 4.22599458694458], [1, 3.6969993114471436], [0, 4.193047285079956], [1, 3.4879963397979736], [0, 4.429947376251221], [1, 3.644008159637451], [0, 4.22600793838501], [1, 3.551927089691162]]"
winner,none
game,29
iterations,11
times of actions,"[[0, 1.9192867279052734], [1, 1.9770348072052002], [0, 2.0110132694244385], [1, 2.0600008964538574], [0, 2.234999418258667], [1, 2.465013027191162], [0, 2.460057497024536], [1, 2.5609991550445557], [0, 2.630002975463867], [1, 2.4409987926483154], [0, 2.5380027294158936], [1, 2.4929635524749756]]"
winner,none
game,30
iterations,31
